Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

19時24分14秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分39秒     ens33  31802.00  27447.00  10981.72  11785.32      0.00      0.00      0.00      0.97
19時24分39秒      cni0  18141.00  19485.00   9448.40   8700.56      0.00      0.00      0.00      0.00
19時24分39秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分39秒 veth854270a4     27.00     33.00      7.14      6.28      0.00      0.00      0.00      0.00
19時24分39秒 veth0c9b2fa5     23.00     23.00      3.71      2.69      0.00      0.00      0.00      0.00
19時24分39秒 vethba68c3a0   5046.00   5326.00    598.16    624.61      0.00      0.00      0.00      0.05
19時24分39秒 veth0a72e473   7017.00   8296.00   6231.58   6999.80      0.00      0.00      0.00      0.57
19時24分39秒 veth575532b7  13332.00  13109.00   5549.12   3757.68      0.00      0.00      0.00      0.45

19時24分39秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分40秒        lo     14.00     14.00      1.92      1.92      0.00      0.00      0.00      0.00
19時24分40秒     ens33  29789.00  25839.00  10396.95  10893.76      0.00      0.00      0.00      0.89
19時24分40秒      cni0  17276.00  18293.00   8759.19   8300.33      0.00      0.00      0.00      0.00
19時24分40秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分40秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分40秒 veth0c9b2fa5     12.00     12.00      2.69      1.63      0.00      0.00      0.00      0.00
19時24分40秒 vethba68c3a0   4773.00   5032.00    567.58    568.94      0.00      0.00      0.00      0.05
19時24分40秒 veth0a72e473   6626.00   7597.00   5721.79   6642.40      0.00      0.00      0.00      0.54
19時24分40秒 veth575532b7  12316.00  12104.00   5211.76   3598.39      0.00      0.00      0.00      0.43

